éûçè,cell_1(V),cell_2(V),cell_3(V),cell_4(V),cell_5(V),cell_6(V),cell_7(V),cell_8(V),cell_9(V),cell_10(V),cell_11(V),cell_12(V),cell_13(V),cell_14(V),cell_15(V),cell_16(V)
11:25:38,3.3644,3.3629,3.3653,3.3677,3.3654,3.3661,3.3667,3.3745,3.402,3.3682,3.367,3.3739,3.3685,3.369,3.372,3.3683
11:25:39,3.364,3.3629,3.3644,3.3665,3.3658,3.3661,3.3669,3.3745,3.4008,3.3675,3.3674,3.3739,3.3676,3.3686,3.3711,3.3677
11:25:40,3.3646,3.3619,3.3642,3.3668,3.3652,3.3649,3.3665,3.3743,3.3994,3.368,3.3665,3.3735,3.368,3.3679,3.3706,3.3674
11:25:41,3.3633,3.3621,3.3648,3.3663,3.3645,3.3653,3.3657,3.374,3.3994,3.3666,3.366,3.3735,3.368,3.3679,3.3706,3.3672
11:25:42,3.3639,3.3615,3.3641,3.366,3.3652,3.364,3.366,3.3736,3.3973,3.3664,3.3653,3.3721,3.3669,3.3676,3.3695,3.3665
11:25:43,3.3639,3.3615,3.3632,3.3661,3.3638,3.3642,3.3658,3.3729,3.3973,3.3663,3.3653,3.3721,3.3669,3.3676,3.3695,3.3665
11:25:44,3.3635,3.361,3.3623,3.3653,3.3644,3.3639,3.3644,3.3736,3.3959,3.3656,3.3653,3.3721,3.3655,3.3662,3.369,3.3656
11:25:45,3.3623,3.3605,3.3628,3.3649,3.3637,3.3637,3.3643,3.3724,3.3952,3.3657,3.3646,3.3721,3.3662,3.3667,3.3694,3.3655
11:25:46,3.3616,3.3607,3.3623,3.3639,3.3638,3.3625,3.3634,3.3726,3.3933,3.3654,3.3649,3.3719,3.3654,3.366,3.3683,3.3655
11:25:47,3.3623,3.3605,3.362,3.3642,3.3633,3.3625,3.3644,3.3724,3.3938,3.3647,3.3639,3.3716,3.3652,3.366,3.368,3.3648
11:25:48,3.361,3.3594,3.3615,3.3633,3.3624,3.3626,3.3631,3.3723,3.3927,3.3637,3.364,3.3712,3.3652,3.366,3.3678,3.3646
11:25:49,3.3619,3.3597,3.3615,3.3631,3.362,3.3619,3.3633,3.3716,3.3918,3.3641,3.3634,3.3705,3.3642,3.3646,3.3676,3.3644
11:25:50,3.3605,3.3594,3.3612,3.3628,3.362,3.3622,3.363,3.3713,3.3908,3.3637,3.3631,3.3708,3.3645,3.3653,3.3675,3.3643
11:25:51,3.361,3.3594,3.3607,3.3624,3.3622,3.3617,3.3624,3.3718,3.3899,3.3629,3.3633,3.3705,3.3645,3.3648,3.3669,3.3643
11:25:52,3.3614,3.3592,3.3605,3.3626,3.3615,3.3614,3.3631,3.3709,3.3894,3.3636,3.3622,3.3696,3.3635,3.3638,3.3662,3.3636
11:25:53,3.3598,3.3589,3.3607,3.3628,3.3608,3.3608,3.3614,3.3706,3.389,3.3624,3.362,3.3706,3.3638,3.3641,3.3662,3.3629
11:25:54,3.3598,3.3589,3.3601,3.3626,3.361,3.3603,3.3619,3.3711,3.3885,3.3625,3.3626,3.3694,3.3629,3.3638,3.3657,3.3629
11:25:55,3.3605,3.3582,3.3601,3.3617,3.3608,3.3601,3.3617,3.3704,3.3876,3.3627,3.3624,3.3696,3.3631,3.3641,3.3657,3.3632
11:25:56,3.3593,3.3575,3.36,3.3615,3.3608,3.3608,3.3609,3.3706,3.3874,3.3622,3.3617,3.3693,3.3629,3.3634,3.3648,3.363
11:25:57,3.36,3.3578,3.3593,3.3614,3.3601,3.36,3.361,3.3707,3.3859,3.3622,3.3612,3.3691,3.3622,3.3632,3.3648,3.3625
11:25:58,3.3593,3.358,3.3594,3.3614,3.3601,3.36,3.361,3.3707,3.3859,3.362,3.3612,3.3699,3.362,3.3634,3.3655,3.3623
11:25:59,3.3593,3.3573,3.3596,3.3607,3.3603,3.3593,3.3609,3.3704,3.3853,3.362,3.3608,3.3686,3.3615,3.3625,3.3643,3.362
11:26:00,3.358,3.3571,3.3589,3.3608,3.3597,3.3603,3.3598,3.3692,3.3848,3.3608,3.3599,3.3691,3.362,3.3629,3.3643,3.3618
11:26:01,3.358,3.3571,3.3589,3.3608,3.3597,3.3603,3.3598,3.3692,3.3846,3.3613,3.3606,3.3687,3.3615,3.3624,3.3638,3.3613
11:26:02,3.3579,3.3573,3.3586,3.3603,3.3584,3.3593,3.36,3.3694,3.3838,3.3611,3.3598,3.3689,3.361,3.3618,3.3638,3.3611
11:26:03,3.3579,3.3566,3.3588,3.3598,3.3592,3.3579,3.3593,3.369,3.3826,3.3603,3.3601,3.3682,3.361,3.3618,3.3638,3.3611
11:26:04,3.3586,3.3561,3.3584,3.3598,3.3584,3.3584,3.3597,3.3692,3.3819,3.3603,3.3596,3.3679,3.3608,3.3618,3.3627,3.3609
